Calculations with WS3
    Z    N    A      Etot  Eshell+pairing  beta2      gamma      beta4
   50   62  112    -1.781    -2.062     0.086      60.000     0.009
   50   64  114    -1.288    -3.664     0.263      -0.389     0.021
   50   66  116    -1.311    -3.577     0.257       0.627     0.008
   50   68  118    -1.541    -3.804     0.249       0.132    -0.006
   50   70  120    -1.962    -4.100     0.235      -0.357    -0.018
   50   72  122    -2.950    -3.345     0.087      60.000    -0.008
   50   74  124    -4.535    -4.804     0.064      60.000    -0.008
   50   76  126    -6.688    -6.715     0.000     -30.000    -0.000
   50   78  128    -9.458    -9.484     0.000     -30.000    -0.000
   50   80  130   -12.764   -12.788     0.003      60.000    -0.000
   50   82  132   -15.777   -15.803     0.002      60.000    -0.000
   50   84  134   -13.715   -13.741     0.007      60.000     0.001
   50   86  136   -11.192   -11.203     0.014       9.979     0.002
   50   88  138    -8.889    -8.903     0.012       3.799     0.002
   50   90  140    -6.653    -6.648     0.011     -14.055     0.002
   50   92  142    -4.456    -4.451     0.029     -16.311     0.003
   50   94  144    -3.616    -6.358     0.224      -0.077     0.066
   50   96  146    -3.312    -5.972     0.236       0.478     0.057
   50   98  148    -3.096    -5.612     0.243       0.564     0.046
   50  100  150    -2.990    -5.468     0.249       0.435     0.032
   50  102  152    -2.980    -5.349     0.254       0.001     0.018
   50  104  154    -2.837    -5.054     0.251      -0.351     0.006
   50  106  156    -2.684    -4.760     0.241      -0.306    -0.005
   50  108  158    -2.639    -4.605     0.228      -1.538    -0.014
   50  110  160    -2.715    -4.605     0.214      -1.166    -0.023
   52   54  106    -6.752    -7.576     0.118       1.210     0.036
   52   56  108    -4.903    -5.701     0.133       0.520     0.029
   52   58  110    -3.251    -4.046     0.142       0.643     0.024
   52   60  112    -1.908    -2.990     0.163       1.286     0.028
   52   62  114    -1.282    -3.610     0.252       0.331     0.035
   52   64  116    -1.080    -3.381     0.263       0.079     0.019
   52   66  118    -1.123    -3.441     0.262      -0.194     0.003
   52   68  120    -1.419    -3.950     0.265      -0.019    -0.014
   52   70  122    -1.785    -4.274     0.256      -0.291    -0.024
   52   72  124    -2.298    -3.189     0.145      60.000    -0.006
   52   74  126    -3.620    -4.323     0.129      38.608    -0.005
   52   76  128    -5.428    -5.947     0.100      47.253    -0.010
   52   78  130    -7.847    -8.045     0.059      59.922    -0.005
   52   80  132   -11.180   -11.206     0.007      59.326    -0.000
   52   82  134   -14.259   -14.285     0.000     -30.000    -0.000
   52   84  136   -12.179   -12.212     0.019       9.005     0.003
   52   86  138    -9.744    -9.859     0.048      -3.607     0.011
   52   88  140    -7.441    -7.596     0.057      -4.846     0.012
